ISO 639-3	ISO 639-2B	ISO 639-2T	ISO 639-1	type	macro
dnv				I	
dnw				I	
dny				I	
doa				I	
dob				I	
doc				I	
doe				I	
dof				I	
doh				I	
doi	doi	doi		M	
dok				I	
dol				I	
don				I	
doo				I	
dop				I	
doq				I	
dor				I	
dos				I	
dot				I	
dov				I	
dow				I	
dox				I	
doy				I	
doz				I	
dpp				I	
drb				I	
drc				I	
drd				I	
dre				I	
drg				I	
dri				I	
drl				I	
drn				I	
dro				I	
drs				I	
drt				I	
dru				I	
dry				I	
dsb	dsb	dsb		I	
dse				I	
dsh				I	
dsi				I	
dsl				I	
dsn				I	
dso				I	
dsq				I	
dta				I	
dtb				I	
dtd				I	
dti				I	
dtk				I	
dtm				I	
dto				I	
dtp				I	
dtr				I	
dts				I	
dtt				I	
dtu				I	
dty				I	nep
dua	dua	dua		I	
dub				I	
duc				I	
dud				I	
due				I	
duf				I	
dug				I	
duh				I	
dui				I	
duj				I	
duk				I	
dul				I	
dun				I	
duo				I	
dup				I	msa
duq				I	
dur				I	
dus				I	
duu				I	
duv				I	
duw				I	
dux				I	
dva				I	
dwa				I	
dwr				I	
dww				I	
dya				I	
dyi				I	
dym				I	
dyn				I	
dyo				I	
dyu	dyu	dyu		I	
dyy				I	
dza				I	
dzg				I	
dzl				I	
dzn				I	
dzo	dzo	dzo	dz	I	
ebg				I	
ebk				I	bnc
ebo				I	
ebr				I	
ebu				I	
ecs				I	
eee				I	
efa				I	
efe				I	
efi	efi	efi		I	
ega				I	
egl				I	
ego				I	
ehu				I	
eip				I	
eit				I	
eiv				I	
eja				I	
eka	eka	eka		I	
eke				I	
ekg				I	
eki				I	
ekk				I	est
ekl				I	
ekm				I	
eko				I	
ekp				I	
ekr				I	
eky				I	
ele				I	
elh				I	
elk				I	
ell	gre	ell	el	I	
elm				I	
elo				I	
elu				I	
ema				I	
emb				I	
eme				I	
emg				I	
emi				I	
emk				I	man
emn				I	
emp				I	
ems				I	
emu				I	
emw				I	
emx				I	
ena				I	
enb				I	kln
enc				I	
end				I	
enf				I	
eng	eng	eng	en	I	
enh				I	
enl				I	
enn				I	
eno				I	
enq				I	
enr				I	
enu				I	
env				I	
enw				I	
enx				I	
eot				I	
epi				I	
era				I	
erg				I	
erh				I	
eri				I	
erk				I	
ero				I	
ers				I	
ert				I	
erw				I	
ese				I	
esh				I	
esi				I	ipk
esk				I	ipk
esl				I	
esn				I	
eso				I	
ess				I	
est	est	est	et	M	
esu				I	
esy				I	
etb				I	
eth				I	
etn				I	
eto				I	
etr				I	
ets				I	
etu				I	
etx				I	
etz				I	
eus	baq	eus	eu	I	
eve				I	
evh				I	
evn				I	
ewe	ewe	ewe	ee	I	
ewo	ewo	ewo		I	
ext				I	
eyo				I	kln
eza				I	
eze				I	
faa				I	
fab				I	
fad				I	
faf				I	
fag				I	
fah				I	
fai				I	
faj				I	
fak				I	
fal				I	
fam				I	
fan	fan	fan		I	
fao	fao	fao	fo	I	
fap				I	
far				I	
fas	per	fas	fa	M	
fat	fat	fat		I	aka
fau				I	
fax				I	
fay				I	
faz				I	
fbl				I	bik
fcs				I	
fer				I	
ffi				I	
ffm				I	ful
fgr				I	
fia				I	
fie				I	
fij	fij	fij	fj	I	
fil	fil	fil		I	
fin	fin	fin	fi	I	
fip				I	
fir				I	
fit				I	
fiw				I	
fkk				I	
fkv				I	
fla				I	
flh				I	
fli				I	
fll				I	
flr				I	
fly				I	
fmp				I	
fmu				I	
fng				I	
fni				I	
fod				I	
foi				I	
fom				I	
fon	fon	fon		I	
for				I	
fpe				I	
fqs				I	
fra	fre	fra	fr	I	
frc				I	
frd				I	
frp				I	
frq				I	
frr	frr	frr		I	
frs	frs	frs		I	
frt				I	
fry	fry	fry	fy	I	
fse				I	
fsl				I	
fss				I	
fub				I	ful
